date,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,demand
2015-03-02,11.6,23.0,22.0,0.0,Y,N,123301.835
2015-03-03,15.5,22.7,21.2,0.0,Y,N,126750.29
2015-03-04,15.4,23.5,23.0,0.0,Y,N,120764.18499999994
2015-03-05,12.6,18.6,22.5,0.8,Y,N,114967.345
2015-03-06,14.1,21.1,10.8,0.2,Y,N,117053.75
2015-03-07,15.4,22.6,10.8,0.2,Y,N,108344.575
2015-03-08,16.2,24.4,20.4,0.0,Y,N,106348.78000000004
2015-03-09,14.4,23.8,18.6,0.0,Y,Y,108282.48
2015-03-10,16.2,21.7,22.1,0.0,Y,N,125828.53
2015-03-11,11.2,23.8,22.3,0.0,Y,N,124418.41500000002
2015-03-12,13.0,19.9,18.7,0.0,Y,N,121683.65000000002
2015-03-13,14.4,20.4,21.2,0.0,Y,N,120929.81500000002
2015-03-14,9.4,30.1,20.0,0.0,Y,N,108738.82
2015-03-15,13.1,18.3,17.5,2.2,Y,N,100170.29500000004
2015-03-16,10.5,25.5,14.5,0.0,Y,N,123787.075
2015-03-17,13.0,26.2,4.8,0.0,Y,N,125600.86
2015-03-18,17.8,24.4,9.4,1.4,Y,N,127975.815
2015-03-19,16.5,33.5,15.1,0.0,Y,N,128319.44999999994
2015-03-20,14.2,19.6,19.9,0.0,Y,N,119491.32
2015-03-21,11.9,22.7,20.8,0.0,Y,N,106754.8
2015-03-22,11.3,28.8,19.9,0.0,Y,N,106555.02999999996
2015-03-23,13.6,27.0,3.9,0.0,Y,N,122810.05
2015-03-24,12.6,15.3,3.8,1.4,Y,N,123234.93499999998
2015-03-25,13.0,20.4,13.8,0.4,Y,N,122268.86
2015-03-26,9.8,18.0,9.9,0.4,Y,N,121998.2
2015-03-27,11.6,18.1,11.2,0.2,N,N,122346.33499999996
2015-03-28,12.7,19.1,14.4,0.0,N,N,112187.71499999995
2015-03-29,8.5,22.7,18.6,0.0,N,N,106418.665
2015-03-30,10.6,23.1,18.1,0.0,N,N,123061.87
2015-03-31,11.2,25.3,18.1,0.0,N,N,125795.32499999998
2015-04-01,13.3,29.0,10.7,0.0,N,N,122042.265
2015-04-02,12.8,17.2,17.5,0.2,N,N,113838.41000000006
2015-04-03,8.0,20.9,17.4,0.0,N,Y,98891.06
2015-04-04,8.5,23.5,16.2,0.0,N,Y,103999.17
2015-04-05,10.2,18.5,9.8,0.0,N,N,103685.45000000004
2015-04-06,11.2,18.4,13.0,0.0,N,Y,107383.37
2015-04-07,12.4,17.3,3.9,0.0,N,N,120235.505
2015-04-08,13.3,17.7,12.6,5.6,N,N,122129.77499999994
2015-04-09,8.7,19.1,10.9,0.0,N,N,123990.76
2015-04-10,8.6,18.7,15.9,0.0,N,N,121753.115
2015-04-11,11.6,23.7,14.9,0.0,N,N,110034.16500000002
2015-04-12,12.1,18.3,13.4,0.0,N,N,103760.225
2015-04-13,7.3,19.1,14.9,0.0,N,N,125107.78
2015-04-14,10.5,24.7,8.4,1.6,Y,N,127793.38
2015-04-15,13.9,27.6,12.8,2.4,Y,N,126673.93499999998
2015-04-16,15.6,17.8,10.9,0.0,Y,N,126937.94
2015-04-17,10.1,17.1,7.5,0.0,Y,N,131031.41500000002
2015-04-18,13.5,21.9,9.9,3.6,Y,N,109763.98499999996
2015-04-19,9.7,14.7,11.0,6.4,Y,N,107160.54
2015-04-20,7.0,16.2,12.7,1.4,Y,N,126696.19
2015-04-21,6.5,17.7,13.8,0.0,Y,N,127973.585
2015-04-22,9.1,19.5,7.1,0.0,Y,N,128598.49500000002
2015-04-23,12.2,19.2,7.5,0.0,Y,N,126483.805
2015-04-24,14.4,21.1,7.8,0.0,Y,N,126230.785
2015-04-25,11.6,15.0,3.5,3.0,Y,Y,111803.625
2015-04-26,10.4,15.4,5.9,7.0,Y,N,108217.81999999998
2015-04-27,10.5,15.1,8.3,4.0,Y,N,127855.22000000006
2015-04-28,10.1,16.0,8.9,1.6,Y,N,132642.14000000007
2015-04-29,7.4,17.1,12.6,0.0,Y,N,132814.615
2015-04-30,6.4,19.6,12.3,0.0,Y,N,132669.58000000005
2015-05-01,7.9,23.1,12.1,0.0,Y,N,126304.445
2015-05-02,11.6,22.2,6.1,0.0,Y,N,108487.97500000003
2015-05-03,9.7,18.2,11.2,0.0,Y,N,109233.34
2015-05-04,7.5,22.3,11.6,0.0,Y,N,122375.47
2015-05-05,9.2,18.1,7.1,0.6,Y,N,123734.865
2015-05-06,9.5,16.2,7.6,1.4,Y,N,129121.86
2015-05-07,10.3,15.6,6.9,2.2,Y,N,131237.185
2015-05-08,10.5,15.9,5.9,0.2,Y,N,131138.73
2015-05-09,12.8,18.7,7.3,0.0,Y,N,108377.05
2015-05-10,12.8,16.6,5.9,8.6,Y,N,103811.27999999998
2015-05-11,12.4,15.9,7.9,2.6,Y,N,123740.245
2015-05-12,12.8,17.4,5.9,0.0,Y,N,129312.58
2015-05-13,6.3,12.8,8.7,6.8,Y,N,136903.26999999993
2015-05-14,7.3,14.6,6.7,4.4,Y,N,135217.65
2015-05-15,11.5,14.5,6.2,1.8,Y,N,135172.41000000006
2015-05-16,11.3,16.2,10.4,0.0,Y,N,117136.63
2015-05-17,7.4,20.5,10.3,0.0,Y,N,111897.08500000004
2015-05-18,7.2,20.4,10.2,0.0,Y,N,127524.8
2015-05-19,9.9,16.2,3.2,0.0,Y,N,133235.47999999998
2015-05-20,13.6,18.1,6.0,2.4,Y,N,127522.71
2015-05-21,10.3,13.6,3.5,6.2,Y,N,135361.1950000001
2015-05-22,9.1,14.1,6.7,0.4,Y,N,133422.45999999993
2015-05-23,10.4,13.3,7.7,0.0,Y,N,119331.85
2015-05-24,6.0,15.6,8.6,0.0,Y,N,118783.08500000006
2015-05-25,7.4,17.1,8.1,0.0,Y,N,136690.92
2015-05-26,5.4,15.6,6.8,0.0,Y,N,140886.99499999994
2015-05-27,7.9,18.7,7.4,0.0,Y,N,133103.36999999994
2015-05-28,13.1,19.7,8.4,0.0,Y,N,127900.235
2015-05-29,9.5,15.8,6.6,0.0,Y,N,132338.94
2015-05-30,11.0,17.3,8.0,0.0,Y,N,114669.79000000002
2015-05-31,12.3,16.8,4.9,0.0,Y,N,113261.26
2015-06-01,5.2,12.2,8.1,8.2,Y,N,140919.99500000002
2015-06-02,7.1,11.4,4.6,4.2,Y,N,148534.505
2015-06-03,8.1,13.6,8.2,0.8,Y,N,146902.94999999998
2015-06-04,4.4,11.3,5.5,0.0,Y,N,147155.26500000007
2015-06-05,7.0,15.0,7.0,4.2,Y,N,142625.03500000006
2015-06-06,9.2,16.6,6.4,0.2,Y,N,120128.29499999998
2015-06-07,11.2,14.5,6.9,0.0,Y,N,109609.68500000004
2015-06-08,11.1,18.5,8.2,0.0,Y,Y,110715.81499999996
2015-06-09,10.3,13.5,8.6,4.0,Y,N,132854.13499999998
2015-06-10,7.5,13.4,7.1,0.0,Y,N,144125.52500000005
2015-06-11,5.7,14.0,8.3,,Y,N,143465.445
2015-06-12,5.2,13.1,6.9,0.0,Y,N,145005.62
2015-06-13,6.0,18.2,8.0,0.0,Y,N,123754.55
2015-06-14,5.8,17.4,8.0,0.0,Y,N,119125.62
2015-06-15,7.1,16.9,6.6,0.0,Y,N,136054.145
2015-06-16,9.5,16.1,3.3,5.0,Y,N,139073.785
2015-06-17,11.7,13.8,4.7,0.0,Y,N,134290.46000000002
2015-06-18,10.7,12.7,4.2,1.0,Y,N,137073.77500000002
2015-06-19,7.0,12.4,7.9,0.2,Y,N,139781.24500000002
2015-06-20,4.1,11.6,7.1,0.0,Y,N,129576.36
2015-06-21,2.2,12.9,8.6,0.0,Y,N,124910.57000000002
2015-06-22,3.6,14.1,6.2,0.0,Y,N,140431.36
2015-06-23,9.6,17.6,5.8,0.0,Y,N,133171.39999999994
2015-06-24,12.2,16.0,7.7,0.0,Y,N,135407.56999999998
2015-06-25,9.6,14.0,6.3,0.0,Y,N,137379.23
2015-06-26,10.5,16.9,7.1,0.0,N,N,135562.075
2015-06-27,8.0,14.1,5.0,0.0,N,N,124587.43
2015-06-28,9.6,14.5,4.1,0.0,N,N,119277.48
2015-06-29,6.9,12.3,5.6,0.0,N,N,139468.15500000006
2015-06-30,5.0,14.2,7.9,0.0,N,N,143170.055
2015-07-01,7.4,15.0,6.9,0.0,N,N,138930.99999999994
2015-07-02,10.3,11.9,7.0,0.6,N,N,138972.42500000002
2015-07-03,5.9,12.0,5.0,2.6,N,N,145713.81000000006
2015-07-04,7.3,10.6,2.8,0.0,N,N,130073.26999999996
2015-07-05,8.2,14.9,8.2,2.0,N,N,117312.925
2015-07-06,7.5,11.5,4.4,1.6,N,N,143176.33500000002
2015-07-07,7.4,14.2,7.0,2.2,N,N,143984.39
2015-07-08,4.9,14.8,8.5,0.2,N,N,141696.295
2015-07-09,6.5,13.4,3.5,0.0,N,N,141994.37500000006
2015-07-10,7.6,14.3,5.8,0.0,N,N,136884.09499999994
2015-07-11,10.9,13.1,3.7,0.2,N,N,123971.70499999994
2015-07-12,3.4,12.3,2.9,1.6,N,N,124790.69500000008
2015-07-13,6.1,12.7,4.2,28.4,N,N,138680.33500000002
2015-07-14,8.1,9.8,4.8,3.8,Y,N,150671.105
2015-07-15,5.8,10.5,7.4,3.6,Y,N,151270.54000000007
2015-07-16,6.6,12.3,8.1,0.2,Y,N,144797.98
2015-07-17,7.3,12.3,6.5,2.4,Y,N,142965.47999999998
2015-07-18,6.1,11.5,9.5,0.4,Y,N,130187.44500000008
2015-07-19,0.6,12.1,9.7,0.0,Y,N,131141.35500000007
2015-07-20,1.8,14.7,9.7,0.0,Y,N,146154.37000000002
2015-07-21,4.2,17.0,8.6,0.0,Y,N,138931.81
2015-07-22,11.4,16.6,6.0,1.6,Y,N,138418.835
2015-07-23,5.1,16.1,9.5,0.0,Y,N,142316.29499999995
2015-07-24,7.6,15.0,4.4,1.2,Y,N,136837.15500000006
2015-07-25,9.4,13.3,7.7,0.8,Y,N,121021.42500000002
2015-07-26,8.1,11.6,8.5,3.2,Y,N,120396.735
2015-07-27,6.2,13.9,9.6,0.8,Y,N,142470.4299999999
2015-07-28,7.9,14.4,10.2,0.0,Y,N,144008.37
2015-07-29,8.4,14.0,9.0,0.0,Y,N,142637.76000000007
2015-07-30,8.6,12.3,4.5,0.0,Y,N,143544.11
2015-07-31,4.1,14.0,10.8,0.6,Y,N,139584.955
2015-08-01,6.5,11.4,4.2,0.2,Y,N,125032.57
2015-08-02,7.8,14.9,8.3,0.0,Y,N,117638.06500000006
2015-08-03,7.3,10.8,9.4,6.4,Y,N,141451.725
2015-08-04,3.5,11.3,7.1,0.0,Y,N,147550.18499999994
2015-08-05,6.6,10.8,8.0,1.0,Y,N,142325.99
2015-08-06,7.1,12.8,7.0,1.6,Y,N,143642.35500000007
2015-08-07,9.0,13.1,9.0,1.4,Y,N,143060.33000000005
2015-08-08,8.8,12.6,6.6,0.4,Y,N,125830.53499999996
2015-08-09,7.7,13.3,6.9,0.0,Y,N,120008.455
2015-08-10,8.3,16.0,10.7,0.2,Y,N,130978.09500000006
2015-08-11,7.8,14.8,11.7,0.8,Y,N,135616.12500000006
2015-08-12,9.3,14.8,9.2,0.0,Y,N,138900.5
2015-08-13,8.4,13.0,7.0,0.2,Y,N,140905.85
2015-08-14,10.4,15.3,7.3,0.0,Y,N,137838.92500000002
2015-08-15,10.0,14.9,10.9,0.4,Y,N,122088.76
2015-08-16,4.7,17.0,9.5,0.2,Y,N,116648.76999999996
2015-08-17,6.8,12.2,9.9,2.4,Y,N,137008.71
2015-08-18,6.1,11.1,9.8,0.6,Y,N,148093.96000000005
2015-08-19,5.5,12.7,10.2,0.0,Y,N,144024.66
2015-08-20,6.1,17.1,12.7,0.0,Y,N,131575.78999999998
2015-08-21,10.9,18.7,4.1,0.0,Y,N,126570.47
2015-08-22,11.8,18.8,11.8,0.0,Y,N,112275.14999999998
2015-08-23,7.9,16.3,13.1,0.0,Y,N,111793.015
2015-08-24,8.5,14.5,9.6,0.0,Y,N,128868.255
2015-08-25,9.5,14.3,8.1,0.0,Y,N,135051.545
2015-08-26,9.2,14.6,7.8,0.2,Y,N,135914.68
2015-08-27,9.8,11.7,2.7,0.8,Y,N,141159.77
2015-08-28,8.1,13.2,12.2,17.4,Y,N,134755.505
2015-08-29,6.3,11.7,9.1,1.8,Y,N,124448.5
2015-08-30,7.9,12.5,14.3,2.2,Y,N,116744.215
2015-08-31,8.1,13.0,11.5,0.0,Y,N,137724.89499999993
2015-09-01,5.1,16.2,15.7,0.0,Y,N,134116.77
2015-09-02,8.0,18.8,10.5,0.0,Y,N,132794.715
2015-09-03,10.6,14.0,8.0,4.4,Y,N,132096.335
2015-09-04,8.7,13.7,13.0,0.0,Y,N,131384.87999999998
2015-09-05,10.2,14.0,14.8,0.0,Y,N,115799.32
2015-09-06,5.8,16.6,11.8,0.0,Y,N,109641.375
2015-09-07,8.9,13.6,9.2,3.6,Y,N,131619.365
2015-09-08,8.8,12.8,11.1,2.0,Y,N,136340.69999999998
2015-09-09,10.0,15.3,11.4,0.0,Y,N,132977.45
2015-09-10,10.0,15.7,17.3,0.0,Y,N,133541.98
2015-09-11,5.1,20.1,17.7,0.0,Y,N,123968.9
2015-09-12,12.2,21.7,10.2,0.0,Y,N,108790.00500000002
2015-09-13,13.2,25.5,17.1,0.0,Y,N,99161.765
2015-09-14,15.4,26.7,17.8,0.0,Y,N,116574.16999999994
2015-09-15,10.8,15.9,15.0,15.8,Y,N,123750.5
2015-09-16,8.9,14.8,17.6,0.0,Y,N,131795.48500000002
2015-09-17,9.0,14.3,12.4,0.4,Y,N,131050.675
2015-09-18,10.5,14.7,8.1,0.0,N,N,130764.58500000002
2015-09-19,6.5,21.3,17.0,0.0,N,N,112377.185
2015-09-20,8.5,22.9,17.3,0.0,N,N,103708.925
2015-09-21,14.0,18.1,6.7,0.0,N,N,120096.70999999998
2015-09-22,7.6,12.7,17.4,4.4,N,N,127755.09499999994
2015-09-23,8.5,12.6,20.3,0.0,N,N,131866.73
2015-09-24,5.1,14.3,18.2,0.0,N,N,130937.62500000006
2015-09-25,5.8,19.1,20.2,0.0,N,N,124278.93
2015-09-26,6.6,17.9,20.1,0.0,N,N,111064.48999999998
2015-09-27,9.8,20.2,19.6,0.0,N,N,106431.815
2015-09-28,8.3,21.4,13.6,0.0,N,N,121796.71500000004
2015-09-29,9.0,16.9,13.5,0.0,N,N,126691.79999999994
2015-09-30,11.5,15.9,16.8,0.0,N,N,129641.245
2015-10-01,6.0,21.6,21.7,0.0,N,N,124356.415
2015-10-02,9.9,28.6,21.7,0.0,N,Y,107544.145
2015-10-03,16.3,31.3,22.2,0.0,N,N,100598.55000000002
2015-10-04,13.9,24.9,22.2,0.0,N,N,103828.88
2015-10-05,12.7,34.4,22.0,0.0,N,N,125194.87
2015-10-06,15.5,35.8,18.9,0.0,Y,N,127225.24500000004
2015-10-07,11.8,16.2,23.6,0.0,Y,N,117282.76500000006
2015-10-08,7.6,18.6,23.3,0.0,Y,N,122121.32500000006
2015-10-09,10.9,29.9,22.0,0.0,Y,N,126989.905
2015-10-10,17.5,29.2,11.9,0.0,Y,N,112604.82499999998
2015-10-11,16.9,19.2,19.6,0.4,Y,N,105376.33500000002
2015-10-12,11.3,16.1,13.4,0.6,Y,N,120916.215
2015-10-13,7.9,17.6,24.3,0.4,Y,N,122830.38
2015-10-14,11.2,28.6,24.4,0.0,Y,N,126919.19500000008
2015-10-15,14.4,34.0,22.2,0.0,Y,N,130260.37000000002
2015-10-16,17.0,23.8,8.4,0.0,Y,N,123985.97000000006
2015-10-17,11.5,20.5,20.4,0.0,Y,N,104916.345
2015-10-18,12.6,17.7,24.2,0.0,Y,N,100812.04
2015-10-19,8.3,26.7,25.8,0.0,Y,N,120795.0
2015-10-20,12.9,31.8,14.4,0.0,Y,N,126655.49000000006
2015-10-21,17.6,18.3,7.3,2.4,Y,N,122368.88500000002
2015-10-22,11.4,16.7,8.5,7.0,Y,N,121471.64000000006
2015-10-23,11.8,16.4,21.0,0.0,Y,N,120420.70000000006
2015-10-24,9.2,19.5,25.1,0.0,Y,N,106813.03
2015-10-25,10.2,31.3,20.1,0.0,Y,N,102279.745
2015-10-26,14.0,15.9,14.5,0.2,Y,N,115297.34
2015-10-27,10.4,23.3,28.1,0.2,Y,N,116619.57000000002
2015-10-28,10.1,26.8,27.6,0.0,Y,N,122887.41000000002
2015-10-29,13.7,26.1,26.8,0.0,Y,N,124222.935
2015-10-30,12.6,27.4,22.6,0.0,Y,N,121256.97000000006
2015-10-31,15.7,25.9,13.5,1.0,Y,N,106353.44
2015-11-01,16.4,26.0,10.0,4.4,Y,N,103629.645
2015-11-02,14.5,16.0,8.2,0.0,Y,N,113791.75
2015-11-03,8.0,17.9,25.4,0.2,Y,Y,101793.035
2015-11-04,10.9,27.2,19.6,0.0,Y,N,120177.94500000008
2015-11-05,16.2,24.7,16.4,12.2,Y,N,125985.46499999998
2015-11-06,16.6,18.7,3.7,17.6,Y,N,120505.585
2015-11-07,11.9,16.8,25.2,1.2,Y,N,104269.79
2015-11-08,8.5,24.8,25.1,0.0,Y,N,103793.08500000002
2015-11-09,13.6,33.1,26.4,0.0,Y,N,127234.72
2015-11-10,15.2,16.4,5.3,0.0,Y,N,121617.28
2015-11-11,11.5,20.1,16.0,2.0,Y,N,121566.645
2015-11-12,13.7,21.2,19.2,0.0,Y,N,123775.16
2015-11-13,13.5,18.2,26.1,0.4,Y,N,117078.58500000002
2015-11-14,12.1,18.3,27.5,0.2,Y,N,103646.63500000004
2015-11-15,13.0,18.5,27.6,0.2,Y,N,99761.81
2015-11-16,11.4,26.3,29.4,0.2,Y,N,124557.225
2015-11-17,15.7,33.3,24.0,0.0,Y,N,131442.19999999998
2015-11-18,14.7,29.5,29.2,0.0,Y,N,132353.755
2015-11-19,15.6,31.5,20.6,0.0,Y,N,138118.70500000002
2015-11-20,15.4,19.1,6.4,0.4,Y,N,123412.685
2015-11-21,12.2,17.5,20.9,3.6,Y,N,102647.905
2015-11-22,13.5,20.0,27.3,0.0,Y,N,98621.62
2015-11-23,13.8,20.7,27.3,0.0,Y,N,114406.82499999998
2015-11-24,13.6,24.5,30.0,0.0,Y,N,118894.305
2015-11-25,13.5,33.3,9.3,0.0,Y,N,124728.87499999994
2015-11-26,10.8,17.4,23.3,0.0,Y,N,112907.145
2015-11-27,9.0,18.2,16.8,0.4,Y,N,117492.81999999998
2015-11-28,12.0,20.1,27.1,0.0,Y,N,105011.19500000004
2015-11-29,12.6,20.3,23.4,0.0,Y,N,102162.52999999996
2015-11-30,10.0,32.2,26.6,0.0,Y,N,122452.415
2015-12-01,14.5,24.6,24.4,1.8,Y,N,117115.61999999998
2015-12-02,9.2,17.5,32.4,0.0,Y,N,115230.125
2015-12-03,12.2,21.3,30.1,0.0,Y,N,121699.425
2015-12-04,11.3,30.8,32.2,0.0,Y,N,129148.52
2015-12-05,15.5,25.3,27.9,0.0,Y,N,115606.00500000002
2015-12-06,15.3,29.8,13.5,0.0,Y,N,112025.29
2015-12-07,18.1,27.3,8.7,0.0,Y,N,129059.645
2015-12-08,20.3,35.4,19.8,0.8,Y,N,136800.91
2015-12-09,15.4,24.6,27.0,0.0,Y,N,125965.02000000006
2015-12-10,13.1,26.0,32.0,0.0,Y,N,125807.495
2015-12-11,14.2,19.2,13.0,0.0,Y,N,116597.80999999998
2015-12-12,10.1,18.3,27.9,2.0,Y,N,106139.41
2015-12-13,10.3,28.3,28.6,0.0,Y,N,105218.515
2015-12-14,11.9,22.7,31.6,0.0,Y,N,125784.95999999998
2015-12-15,14.4,24.6,30.3,0.0,Y,N,129077.41000000006
2015-12-16,15.6,27.5,32.5,0.0,Y,N,135930.08
2015-12-17,16.9,37.2,33.1,0.0,Y,N,152366.30000000002
2015-12-18,19.4,35.4,31.2,0.0,N,N,158052.89
2015-12-19,19.2,41.2,20.5,0.0,N,N,154924.89
2015-12-20,25.9,37.8,10.4,0.0,N,N,133421.03
2015-12-21,15.0,20.2,25.4,6.0,N,N,113802.21
2015-12-22,12.0,22.8,32.9,0.0,N,N,119477.51500000006
2015-12-23,15.1,26.0,32.4,0.0,N,N,126553.115
2015-12-24,16.7,34.6,32.8,0.4,N,N,134583.25000000006
2015-12-25,21.7,34.1,33.3,0.0,N,Y,119950.37000000002
2015-12-26,12.7,20.0,19.2,30.6,N,Y,95093.295
2015-12-27,11.9,19.4,27.6,5.2,N,N,96394.94
2015-12-28,12.8,20.8,33.2,0.0,N,Y,100048.44
2015-12-29,12.4,23.9,33.0,0.0,N,N,111647.54
2015-12-30,13.9,34.7,32.8,0.0,N,N,128552.13499999998
2015-12-31,19.7,39.7,29.6,0.0,N,N,146473.835
2016-01-01,19.8,24.2,22.0,0.0,N,Y,116040.92499999994
2016-01-02,17.1,27.6,25.1,0.0,N,N,99622.63999999996
2016-01-03,17.5,27.1,25.7,0.0,N,N,97656.44500000002
2016-01-04,16.3,26.0,15.3,0.0,N,N,110932.505
2016-01-05,17.1,25.7,25.8,0.0,N,N,117873.58
2016-01-06,17.3,25.7,18.1,0.0,N,N,115064.265
2016-01-07,16.3,21.3,30.4,0.0,N,N,112392.695
2016-01-08,16.2,20.6,25.4,0.0,N,N,111879.54000000002
2016-01-09,16.8,21.4,21.3,0.0,N,N,105482.69500000004
2016-01-10,15.7,31.5,31.3,0.0,N,N,113049.145
2016-01-11,17.2,36.4,15.8,0.0,N,N,141133.08499999993
2016-01-12,17.1,24.8,29.1,0.8,N,N,135006.11
2016-01-13,16.8,42.2,25.0,0.2,N,N,160011.07499999998
2016-01-14,16.1,18.1,3.9,0.4,N,N,120396.335
2016-01-15,13.6,19.2,19.7,1.0,N,N,113244.79
2016-01-16,11.9,22.3,32.6,0.0,N,N,103046.17
2016-01-17,14.9,32.7,31.5,0.0,N,N,114097.07000000002
2016-01-18,18.6,35.3,30.4,0.0,N,N,147817.58500000002
2016-01-19,17.9,30.9,27.2,0.0,N,N,148612.37000000005
2016-01-20,19.3,29.1,18.6,1.0,N,N,142471.50999999998
2016-01-21,19.0,26.7,14.9,0.8,N,N,139450.61500000002
2016-01-22,17.5,22.8,6.5,1.6,N,N,129135.185
2016-01-23,17.3,21.9,23.2,7.0,N,N,108097.84500000004
2016-01-24,16.2,22.2,23.4,5.2,N,N,103396.30000000005
2016-01-25,16.7,20.9,25.7,0.4,N,N,112649.59999999996
2016-01-26,16.5,29.4,28.7,0.0,N,Y,110152.815
2016-01-27,19.3,29.5,22.2,0.0,N,N,133718.035
2016-01-28,20.3,27.5,19.0,3.6,Y,N,134169.83
2016-01-29,14.4,18.3,14.3,14.2,Y,N,123615.21000000006
2016-01-30,12.3,22.4,24.0,1.2,Y,N,107579.345
2016-01-31,13.9,21.8,26.3,10.6,Y,N,101279.65
2016-02-01,12.5,23.6,29.4,0.0,Y,N,121942.89499999996
2016-02-02,15.4,31.5,25.5,0.0,Y,N,133989.155
2016-02-03,18.1,21.0,11.0,0.6,Y,N,122594.475
2016-02-04,17.3,20.9,21.7,2.4,Y,N,119919.605
2016-02-05,15.3,29.4,29.0,0.0,Y,N,126330.55000000002
2016-02-06,16.5,32.6,28.8,0.0,Y,N,123737.01
2016-02-07,19.1,27.7,28.5,0.0,Y,N,124436.80999999998
2016-02-08,19.2,22.9,23.3,0.0,Y,N,129327.22500000002
2016-02-09,17.4,22.7,27.7,0.0,Y,N,131271.26499999998
2016-02-10,17.4,23.3,25.3,0.0,Y,N,132265.005
2016-02-11,18.0,23.8,27.6,0.0,Y,N,131003.79000000004
2016-02-12,16.7,24.9,27.9,0.0,Y,N,133845.52000000002
